1,3810446,They don't know that we know they know we know.,Friends,other,David Crane and Marta Kauffman
2,4940085,And all you touch and all you see is all your life will ever be.,Breathe (In the Air),song,Pink Floyd
3,4940148,I remember what it was like to love you because I still do.,Still,song,Dependence
4,4350201,"You have the power to heal your life, and you need to know that.",Meditations to Heal Your Life,book,Louise Hay
5,4940041,Have you ever come to hate the very thing that you helped to create?,But Why Would You Care?,song,Knuckle Puck
6,3620010,"For all the things you've done, for the things you might have done, and for the only thing you have left.",V for Vendetta,book,Warner Home Video
7,4940164,Don't it make you sad to know that life is more than who you are?,Name,song,Goo Goo Dolls
8,3641177,There is something about yourself that you don't know.,Revolver,movie,Guy Ritchie
9,4180447,Don't it make you sad to know that life is more than who we are?,Name,song,The Goo Goo Dolls
10,3550533,Perhaps if you know you are insane then you are not insane.,The Man in the High Castle,book,Philip K. Dick
11,3640461,There are many things that I would like to say to you but I don't know how.,Wonderwall,song,Oasis
12,3550074,You are what you are and you are where you are because of what has gone into your mind. You change what you are and you change where you are by changing what goes into your mind.,See You at the Top,book,Zig Ziglar
13,3621314,You are the most important thing to me now. The most important thing to me ever.,Twilight,book,Stephenie Meyer
14,4180212,"When you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible.",When Harry Met Sally,movie,Nora Ephron
15,4940027,"When you find that once again you long to take your heart back and be free, if you ever find a moment, spare a thought for me.",The Phantom of the Opera,other,Andrew Lloyd Webber
16,3550141,And he told us of his life in the land of submarines.,Yellow Submarine,song,The Beatles
17,3620661,"The mark of the immature man is that he wants to die nobly for a cause, while the mark of the mature man is that he wants to live humbly for one.",The Catcher in the Rye,book,J. D. Salinger
18,3622454,"But I really believe that there are more good people on this earth than bad people, and the good people watch out for each other and take care of each other.",Wonder,book,R.J. Palacio
19,4180545,You must take life the way it comes at you and make the best of it.,Life of Pi,book,Yann Martel
20,4180636,Never imagine yourself not to be otherwise than what it might appear to others that what you were or might have been was not otherwise than what you had been would have appeared to them to be otherwise.,Alice's Adventures in Wonderland,book,Lewis Carroll
21,1820010,"Therefore a man shall leave his father and mother and be joined to his wife, and they shall become one flesh.",Genesis 2:24 (NKJV),book,God
22,4940114,"Bother me, tell me awful things. You know I love it when you move that on me, love it when you do that on me.",Awful Things,song,Lil Peep (Gustav Ahr)
23,4180036,"I know it's a mistake. But there are certain things in life where you know it's a mistake, but you don't really know it's a mistake, because the only way to really know it's a mistake is to make the mistake.",How I Met Your Mother,other,Carter Bays
24,3622124,"There was never any more inception than there is now, nor any more youth or age than there is now; and will never be any more perfection than there is now, nor any more heaven or hell than there is now.",Leaves of Grass,book,Walt Whitman
25,3550221,"No matter where you stand on the long path, right now, try very hard to smile, and be glad you're in the game.",Digital Heretic (The Game is Life Book 2),book,Terry Schott
26,3620279,She was feeling the pressure of the world outside and she wanted to see him and feel his presence beside her and be reassured that she was doing the right thing after all.,The Great Gatsby,book,F. Scott Fitzgerald
27,4350378,"That was what I wanted, but I don't need it to be gone. I can love you and I can love life and bear the pain all at the same time. I think the pain might even make the rest better, the way a good setting can make a diamond look better.",Needful Things,book,Stephen King
28,3620568,"Was it all put into words, or did both understand that they had the same thing at heart and in their minds, so that there was no need to speak of it aloud, and better not to speak of it?",Crime and Punishment,book,Fyodor Dostoyevsky
29,3621293,"You don't get to choose if you get hurt in this world, but you do have some say in who hurts you.",The Fault in Our Stars,book,John Green
30,4940045,"When you dance the dance of another, you make yourself in the image of its creator. You empty yourself so that her work can live within you.",Suspiria,movie,Luca Guadagnino
